timestamps population node_ids
1750 'shock' 0
1755 'shock' 0
1760 'shock' 0
1765 'shock' 0
1770 'shock' 0
1775 'shock' 0
1780 'shock' 0
1785 'shock' 0
1790 'shock' 0
1795 'shock' 0
1800 'shock' 0
1805 'shock' 0
1810 'shock' 0
1815 'shock' 0
1820 'shock' 0
1825 'shock' 0
1830 'shock' 0
1835 'shock' 0
1840 'shock' 0
1845 'shock' 0
1850 'shock' 0
5750 'shock' 0
5755 'shock' 0
5760 'shock' 0
5765 'shock' 0
5770 'shock' 0
5775 'shock' 0
5780 'shock' 0
5785 'shock' 0
5790 'shock' 0
5795 'shock' 0
5800 'shock' 0
5805 'shock' 0
5810 'shock' 0
5815 'shock' 0
5820 'shock' 0
5825 'shock' 0
5830 'shock' 0
5835 'shock' 0
5840 'shock' 0
5845 'shock' 0
5850 'shock' 0
9750 'shock' 0
9755 'shock' 0
9760 'shock' 0
9765 'shock' 0
9770 'shock' 0
9775 'shock' 0
9780 'shock' 0
9785 'shock' 0
9790 'shock' 0
9795 'shock' 0
9800 'shock' 0
9805 'shock' 0
9810 'shock' 0
9815 'shock' 0
9820 'shock' 0
9825 'shock' 0
9830 'shock' 0
9835 'shock' 0
9840 'shock' 0
9845 'shock' 0
9850 'shock' 0
13750 'shock' 0
13755 'shock' 0
13760 'shock' 0
13765 'shock' 0
13770 'shock' 0
13775 'shock' 0
13780 'shock' 0
13785 'shock' 0
13790 'shock' 0
13795 'shock' 0
13800 'shock' 0
13805 'shock' 0
13810 'shock' 0
13815 'shock' 0
13820 'shock' 0
13825 'shock' 0
13830 'shock' 0
13835 'shock' 0
13840 'shock' 0
13845 'shock' 0
13850 'shock' 0
17750 'shock' 0
17755 'shock' 0
17760 'shock' 0
17765 'shock' 0
17770 'shock' 0
17775 'shock' 0
17780 'shock' 0
17785 'shock' 0
17790 'shock' 0
17795 'shock' 0
17800 'shock' 0
17805 'shock' 0
17810 'shock' 0
17815 'shock' 0
17820 'shock' 0
17825 'shock' 0
17830 'shock' 0
17835 'shock' 0
17840 'shock' 0
